іъ¬л,Љт≥∆,»’∆Џ,«∞ ’≈ћЉџ(‘™),њ™≈ћЉџ(‘™),„оЄяЉџ(‘™),„оµЌЉџ(‘™), ’≈ћЉџ(‘™),≥…љїЅњ(є…),≥…љїљрґо(‘™),’«µш(‘™),’«µшЈщ(%),ЊщЉџ(‘™),її ÷¬ (%),Aє…ЅчЌ® –÷µ(‘™),Bє…ЅчЌ® –÷µ(‘™),„№ –÷µ(‘™),Aє…ЅчЌ®є…±Њ(є…),Bє…ЅчЌ®є…±Њ(є…),„№є…±Њ(є…), –”ѓ¬ , –Њї¬ , –ѕъ¬ , –ѕ÷¬ ,
603993.SH,¬е—фов“µ,2012-10-09,N/A,2.4772,2.7563,2.4658,2.742,175040418,1571741690,1.8878,221,8.9793,87.5202,1926000000,N/A,48883522155.75,200000000,0,5076170525,38.621,4.3848,8.0141,-811.3192,
603993.SH,¬е—фов“µ,2012-10-10,2.742,2.8132,3.0154,2.5598,3.0154,146349124,1397022023,0.2733,9.9688,9.5458,73.1746,2118000000,N/A,53756645859.75,200000000,0,5076170525,42.4711,4.8219,8.8131,-892.1984,
603993.SH,¬е—фов“µ,2012-10-11,3.0154,2.8787,2.9727,2.7136,2.7563,120872279,1213281052,-0.2591,-8.593,10.0377,60.4361,1936000000,N/A,49137330682,200000000,0,5076170525,38.8215,4.4076,8.0558,-815.5316,
603993.SH,¬е—фов“µ,2012-10-12,2.7563,2.6908,2.779,2.5712,2.5883,75998677,709372476,-0.168,-6.095,9.334,37.9993,1818000000,N/A,46142390072.25,200000000,0,5076170525,36.4553,4.1389,7.5648,-765.8246,
603993.SH,¬е—фов“µ,2012-10-15,2.5883,2.5911,2.6395,2.5199,2.594,55633510,504666843,0.0057,0.22,9.0713,27.8168,1822000000,N/A,46243913482.75,200000000,0,5076170525,36.5355,4.148,7.5814,-767.5096,
603993.SH,¬е—фов“µ,2012-10-16,2.594,2.5626,2.6054,2.5029,2.5228,43095012,386985012,-0.0712,-2.7442,8.9798,21.5475,1772000000,N/A,44974870851.5,200000000,0,5076170525,35.5329,4.0342,7.3734,-746.4473,
603993.SH,¬е—фов“µ,2012-10-17,2.5228,2.5285,2.5484,2.4288,2.4943,45126451,393767565,-0.0285,-1.1287,8.7259,22.5632,1752000000,N/A,44467253799,200000000,0,5076170525,35.1319,3.9887,7.2901,-738.0224,
603993.SH,¬е—фов“µ,2012-10-18,2.4943,2.4915,2.5911,2.4744,2.5655,55210820,491810765,0.0712,2.8539,8.9079,27.6054,1802000000,N/A,45736296430.25,200000000,0,5076170525,36.1345,4.1025,7.4982,-759.0847,
603993.SH,¬е—фов“µ,2012-10-19,2.5655,2.557,2.557,2.4658,2.4744,35181409,310167487,-0.0911,-3.5516,8.8162,17.5907,1738000000,N/A,44111921862.25,200000000,0,5076170525,34.8511,3.9568,7.2319,-732.125,
603993.SH,¬е—фов“µ,2012-10-22,2.4744,2.4203,2.4402,2.3633,2.4288,31156050,263086740,-0.0456,-1.8412,8.4442,15.578,1706000000,N/A,43299734578.25,200000000,0,5076170525,34.2095,3.8839,7.0987,-718.6451,
603993.SH,¬е—фов“µ,2012-10-23,2.4288,2.4488,2.6424,2.4231,2.5456,65124957,582180336,0.1167,4.8066,8.9394,32.5625,1788000000,N/A,45380964493.5,200000000,0,5076170525,35.8538,4.0706,7.4399,-753.1873,
603993.SH,¬е—фов“µ,2012-10-24,2.5456,2.5029,2.5142,2.4544,2.5029,31220333,272258058,-0.0427,-1.6779,8.7205,15.6102,1758000000,N/A,44619538914.75,200000000,0,5076170525,35.2522,4.0023,7.3151,-740.5499,
603993.SH,¬е—фов“µ,2012-10-25,2.5029,2.4772,2.5228,2.3804,2.4203,32584679,280109595,-0.0826,-3.2992,8.5964,16.2923,1700000000,N/A,43147449462.5,200000000,0,5076170525,36.7349,3.6124,7.0738,-716.1177,
603993.SH,¬е—фов“µ,2012-10-26,2.4203,2.4231,2.4345,2.2494,2.2751,33099025,269476876,-0.1452,-6,8.1415,16.5495,1598000000,N/A,40558602494.75,200000000,0,5076170525,34.5308,3.3956,6.6493,-673.1506,
603993.SH,¬е—фов“µ,2012-10-29,2.2751,2.2523,2.295,2.2324,2.2808,16396693,130437190,0.0057,0.2503,7.9551,8.1983,1602000000,N/A,40660125905.25,200000000,0,5076170525,34.6172,3.4041,6.666,-674.8356,
603993.SH,¬е—фов“µ,2012-10-30,2.2808,2.2722,2.3206,2.238,2.2893,19765438,158126824,0.0085,0.3745,8.0002,9.8827,1608000000,N/A,40812411021,200000000,0,5076170525,34.7469,3.4169,6.6909,-677.363,
603993.SH,¬е—фов“µ,2012-10-31,2.2893,2.2722,2.2865,2.2267,2.2722,15893521,125898556,-0.0171,-0.7463,7.9214,7.9468,1596000000,N/A,40507840789.5,200000000,0,5076170525,34.4876,3.3914,6.641,-672.3081,
603993.SH,¬е—фов“µ,2012-11-01,2.2722,2.2779,2.4431,2.2665,2.3434,56262080,469265090,0.0712,3.1328,8.3407,28.131,1646000000,N/A,41776883420.75,200000000,0,5076170525,35.568,3.4976,6.8491,-693.3704,
603993.SH,¬е—фов“µ,2012-11-02,2.3434,2.3292,2.4744,2.3235,2.3918,49745183,420437096,0.0484,2.0656,8.4518,24.8726,1680000000,N/A,42639832410,200000000,0,5076170525,36.3027,3.5699,6.9905,-707.6927,
603993.SH,¬е—фов“µ,2012-11-05,2.3918,2.3519,2.3662,2.3035,2.3235,25709213,210128782,-0.0683,-2.8571,8.1733,12.8546,1632000000,N/A,41421551484,200000000,0,5076170525,35.2655,3.4679,6.7908,-687.473,
603993.SH,¬е—фов“µ,2012-11-06,2.3235,2.3064,2.3292,2.2352,2.3149,23984781,192209527,-0.0085,-0.3676,8.0138,11.9924,1626000000,N/A,41269266368.25,200000000,0,5076170525,35.1358,3.4551,6.7658,-684.9455,
603993.SH,¬е—фов“µ,2012-11-07,2.3149,2.3064,2.4003,2.295,2.3719,35410333,293978966,0.0569,2.46,8.3021,17.7052,1666000000,N/A,42284500473.25,200000000,0,5076170525,36.0002,3.5401,6.9323,-701.7953,
603993.SH,¬е—фов“µ,2012-11-08,2.3719,2.3349,2.3548,2.2494,2.258,27769928,223456189,-0.1139,-4.8019,8.0467,13.885,1586000000,N/A,40254032263.25,200000000,0,5076170525,34.2715,3.3701,6.5994,-668.0956,
603993.SH,¬е—фов“µ,2012-11-09,2.258,2.2409,2.2836,2.2352,2.2722,13658305,108465862,0.0142,0.6305,7.9414,6.8292,1596000000,N/A,40507840789.5,200000000,0,5076170525,34.4876,3.3914,6.641,-672.3081,
603993.SH,¬е—фов“µ,2012-11-12,2.2722,2.3206,2.332,2.2551,2.2808,15762315,126412041,0.0085,0.3759,8.0199,7.8812,1602000000,N/A,40660125905.25,200000000,0,5076170525,34.6172,3.4041,6.666,-674.8356,
603993.SH,¬е—фов“µ,2012-11-13,2.2808,2.2665,2.2836,2.1669,2.1782,19731504,152442235,-0.1025,-4.4944,7.7258,9.8658,1530000000,N/A,38832704516.25,200000000,0,5076170525,33.0614,3.2511,6.3664,-644.5059,
603993.SH,¬е—фов“µ,2012-11-14,2.1782,2.1697,2.2238,2.164,2.1925,13170548,101450819,0.0142,0.6536,7.7029,6.5853,1540000000,N/A,39086513042.5,200000000,0,5076170525,33.2775,3.2724,6.408,-648.7183,
603993.SH,¬е—фов“µ,2012-11-15,2.1925,2.164,2.1868,2.0757,2.09,18395205,138147019,-0.1025,-4.6753,7.5099,9.1976,1468000000,N/A,37259091653.5,200000000,0,5076170525,31.7217,3.1194,6.1084,-618.3887,
603993.SH,¬е—фов“µ,2012-11-16,2.09,2.0786,2.0957,2.0273,2.053,13260686,95409782,-0.037,-1.7711,7.1949,6.6303,1442000000,N/A,36599189485.25,200000000,0,5076170525,31.1598,3.0641,6.0002,-607.4363,
603993.SH,¬е—фов“µ,2012-11-19,2.053,2.0444,2.1782,2.0359,2.1384,25322283,187923318,0.0854,4.1609,7.4213,12.6611,1502000000,N/A,38122040642.75,200000000,0,5076170525,32.4564,3.1916,6.2499,-632.711,
603993.SH,¬е—фов“µ,2012-11-20,2.1384,2.1412,2.1526,2.0672,2.0729,17117621,125881650,-0.0655,-3.0626,7.3539,8.5588,1456000000,N/A,36954521422,200000000,0,5076170525,31.4624,3.0939,6.0585,-613.3337,
603993.SH,¬е—фов“µ,2012-11-21,2.0729,2.07,2.1327,2.0416,2.1128,17421052,128032921,0.0399,1.9231,7.3493,8.7105,1484000000,N/A,37665185295.5,200000000,0,5076170525,32.0674,3.1534,6.175,-625.1286,
603993.SH,¬е—фов“µ,2012-11-22,2.1128,2.09,2.1355,2.0672,2.0843,14323878,105546590,-0.0285,-1.3477,7.3686,7.1619,1464000000,N/A,37157568243,200000000,0,5076170525,31.6352,3.1109,6.0918,-616.7037,
603993.SH,¬е—фов“µ,2012-11-23,2.0843,2.0871,2.1156,2.0729,2.1014,12786922,93993957,0.0171,0.8197,7.3508,6.3935,1476000000,N/A,37462138474.5,200000000,0,5076170525,31.8945,3.1364,6.1417,-621.7586,
603993.SH,¬е—фов“µ,2012-11-26,2.1014,2.1014,2.1014,2.0416,2.0473,10010020,72821941,-0.0541,-2.5745,7.2749,5.005,1438000000,N/A,36497666074.75,200000000,0,5076170525,31.0734,3.0556,5.9836,-605.7513,
603993.SH,¬е—фов“µ,2012-11-27,2.0473,2.0416,2.0473,1.9248,1.9334,15135199,105004542,-0.1139,-5.5633,6.9378,7.5676,1358000000,N/A,34467197864.75,200000000,0,5076170525,29.3447,2.8856,5.6507,-572.0516,
603993.SH,¬е—фов“µ,2012-11-28,1.9334,1.9021,1.9647,1.8964,1.9049,11279190,76258448,-0.0285,-1.4728,6.761,5.6396,1338000000,N/A,33959580812.25,200000000,0,5076170525,28.9125,2.8431,5.5675,-563.6267,
603993.SH,¬е—фов“µ,2012-11-29,1.9049,1.9106,1.9362,1.8309,1.8451,12037707,79729778,-0.0598,-3.139,6.6233,6.0189,1296000000,N/A,32893585002,200000000,0,5076170525,28.005,2.7539,5.3927,-545.9344,
603993.SH,¬е—фов“µ,2012-11-30,1.8451,1.8366,1.8707,1.8223,1.8679,13212324,85875093,0.0228,1.2346,6.4996,6.6062,1312000000,N/A,33299678644,200000000,0,5076170525,28.3507,2.7879,5.4593,-552.6743,
603993.SH,¬е—фов“µ,2012-12-03,1.8679,1.8536,1.8821,1.8024,1.8223,12142838,78450976,-0.0456,-2.439,6.4607,6.0714,1280000000,N/A,32487491360,200000000,0,5076170525,27.6592,2.7199,5.3261,-539.1945,
603993.SH,¬е—фов“µ,2012-12-04,1.8223,1.8536,1.9077,1.8394,1.8764,21104796,138433615,0.0541,2.9687,6.5593,10.5524,1318000000,N/A,33451963759.75,200000000,0,5076170525,28.4804,2.8006,5.4842,-555.2018,
603993.SH,¬е—фов“µ,2012-12-05,1.8764,1.8508,2.0188,1.8451,1.959,32911238,224946131,0.0826,4.4006,6.8349,16.4556,1376000000,N/A,34924053212,200000000,0,5076170525,29.7337,2.9239,5.7256,-579.634,
603993.SH,¬е—фов“µ,2012-12-06,1.959,1.9334,1.9562,1.9106,1.9362,19180220,130242488,-0.0228,-1.1628,6.7905,9.5901,1360000000,N/A,34517959570,200000000,0,5076170525,29.3879,2.8899,5.659,-572.8941,
603993.SH,¬е—фов“µ,2012-12-07,1.9362,1.9391,2.0985,1.9021,2.0245,36341230,256474162,0.0883,4.5588,7.0574,18.1706,1422000000,N/A,36091572432.75,200000000,0,5076170525,30.7277,3.0216,5.917,-599.0114,
603993.SH,¬е—фов“µ,2012-12-10,2.0245,2.0273,2.1213,2.0017,2.0729,34235708,248194448,0.0484,2.391,7.2496,17.1179,1456000000,N/A,36954521422,200000000,0,5076170525,31.4624,3.0939,6.0585,-613.3337,
603993.SH,¬е—фов“µ,2012-12-11,2.0729,2.0644,2.127,2.0416,2.053,26047386,190020233,-0.0199,-0.9615,7.2952,13.0237,1442000000,N/A,36599189485.25,200000000,0,5076170525,31.1598,3.0641,6.0002,-607.4363,
603993.SH,¬е—фов“µ,2012-12-12,2.053,2.0273,2.0729,1.9932,2.0558,17877169,127995349,0.0028,0.1387,7.1597,8.9386,1444000000,N/A,36649951190.5,200000000,0,5076170525,31.2031,3.0684,6.0085,-608.2787,
603993.SH,¬е—фов“µ,2012-12-13,2.0558,2.0558,2.0558,1.9818,1.9846,13677778,96820837,-0.0712,-3.4626,7.0787,6.8389,1394000000,N/A,35380908559.25,200000000,0,5076170525,30.1226,2.9621,5.8005,-587.2165,
603993.SH,¬е—фов“µ,2012-12-14,1.9846,1.9732,2.1839,1.9732,2.1839,38512999,284816114,0.1993,10.043,7.3953,19.2565,1534000000,N/A,38934227926.75,200000000,0,5076170525,33.1478,3.2596,6.383,-646.1909,
603993.SH,¬е—фов“µ,2012-12-17,2.1839,2.2779,2.3719,2.221,2.3007,74099397,594911589,0.1167,5.3455,8.0286,37.0497,1616000000,N/A,41015457842,200000000,0,5076170525,34.9198,3.4339,6.7242,-680.733,
603993.SH,¬е—фов“µ,2012-12-18,2.3007,2.2779,2.3462,2.2494,2.2865,44912811,361293942,-0.0142,-0.6188,8.0443,22.4564,1606000000,N/A,40761649315.75,200000000,0,5076170525,34.7037,3.4126,6.6826,-676.5206,
603993.SH,¬е—фов“µ,2012-12-19,2.2865,2.2494,2.2921,2.2238,2.2551,30534902,241900446,-0.0313,-1.3699,7.9221,15.2675,1584000000,N/A,40203270558,200000000,0,5076170525,34.2283,3.3659,6.5911,-667.2532,
603993.SH,¬е—фов“µ,2012-12-20,2.2551,2.2352,2.4345,2.2153,2.3776,55812612,455595815,0.1224,5.4293,8.163,27.9063,1670000000,N/A,42386023883.75,200000000,0,5076170525,36.0866,3.5486,6.9489,-703.4803,
603993.SH,¬е—фов“µ,2012-12-21,2.3776,2.3548,2.4231,2.2836,2.3092,35899962,294665366,-0.0683,-2.8743,8.208,17.95,1622000000,N/A,41167742957.75,200000000,0,5076170525,35.0494,3.4466,6.7492,-683.2605,
603993.SH,¬е—фов“µ,2012-12-24,2.3092,2.3035,2.3178,2.2437,2.3121,21544128,172704569,0.0028,0.1233,8.0163,10.7721,1624000000,N/A,41218504663,200000000,0,5076170525,35.0926,3.4509,6.7575,-684.103,
603993.SH,¬е—фов“µ,2012-12-25,2.3121,2.3007,2.4146,2.2722,2.3662,40359404,334492257,0.0541,2.3399,8.2878,20.1797,1662000000,N/A,42182977062.75,200000000,0,5076170525,35.9138,3.5316,6.9156,-700.1103,
603993.SH,¬е—фов“µ,2012-12-26,2.3662,2.3491,2.5,2.3434,2.4402,46860531,399626538,0.074,3.1288,8.528,23.4303,1714000000,N/A,43502781399.25,200000000,0,5076170525,37.0374,3.6421,7.132,-722.0151,
603993.SH,¬е—фов“µ,2012-12-27,2.4402,2.4231,2.4601,2.3406,2.3434,31186049,261368049,-0.0968,-3.9673,8.3809,15.593,1646000000,N/A,41776883420.75,200000000,0,5076170525,35.568,3.4976,6.8491,-693.3704,
603993.SH,¬е—фов“µ,2012-12-28,2.3434,2.352,2.4154,2.3117,2.3751,22741284,186279924,0.0317,1.3514,8.1913,11.3706,1650000000,N/A,41878406831.25,200000000,0,5076170525,35.6545,3.5061,6.8657,-695.0554,
603993.SH,¬е—фов“µ,2012-12-31,2.3751,2.3722,2.4614,2.3549,2.3981,30440709,255125093,0.023,0.9697,8.381,15.2204,1666000000,N/A,42284500473.25,200000000,0,5076170525,36.0002,3.5401,6.9323,-701.7953,
603993.SH,¬е—фов“µ,2013-01-04,2.3981,2.4182,2.4873,2.3923,2.4125,28408668,240192485,0.0144,0.6002,8.4549,14.2043,1676000000,N/A,42538308999.5,200000000,0,5076170525,36.2163,3.5614,7.4486,-32.3347,
603993.SH,¬е—фов“µ,2013-01-07,2.4125,2.3895,2.4039,2.3405,2.3779,22303672,183619547,-0.0345,-1.432,8.2327,11.1518,1652000000,N/A,41929168536.5,200000000,0,5076170525,35.6977,3.5104,7.342,-31.8717,
603993.SH,¬е—фов“µ,2013-01-08,2.3779,2.3664,2.4442,2.3348,2.4384,29244834,243037467,0.0605,2.5424,8.3104,14.6224,1694000000,N/A,42995164346.75,200000000,0,5076170525,36.6052,3.5996,7.5286,-32.682,
603993.SH,¬е—фов“µ,2013-01-09,2.4384,2.424,2.4326,2.3463,2.4096,22405823,186753622,-0.0288,-1.1806,8.335,11.2029,1674000000,N/A,42487547294.25,200000000,0,5076170525,36.1731,3.5571,7.4397,-32.2962,
603993.SH,¬е—фов“µ,2013-01-10,2.4096,2.4096,2.4672,2.3866,2.4384,27445514,231877035,0.0288,1.1947,8.4486,13.7228,1694000000,N/A,42995164346.75,200000000,0,5076170525,36.6052,3.5996,7.5286,-32.682,
603993.SH,¬е—фов“µ,2013-01-11,2.4384,2.4499,2.4643,2.3405,2.3405,22578249,187500608,-0.0979,-4.0142,8.3045,11.2891,1626000000,N/A,41269266368.25,200000000,0,5076170525,35.1358,3.4551,7.2264,-31.3701,
603993.SH,¬е—фов“µ,2013-01-14,2.3405,2.3319,2.4586,2.3146,2.424,30434537,252922231,0.0835,3.567,8.3104,15.2173,1684000000,N/A,42741355820.5,200000000,0,5076170525,36.3892,3.5784,7.4842,-32.4891,
603993.SH,¬е—фов“µ,2013-01-15,2.424,2.4413,2.5823,2.4298,2.5248,49959946,437420242,0.1008,4.1568,8.7554,24.98,1754000000,N/A,44518015504.25,200000000,0,5076170525,37.9018,3.7271,7.7953,-33.8396,
603993.SH,¬е—фов“µ,2013-01-16,2.5248,2.5823,2.7781,2.5823,2.7781,42949578,408889665,0.2533,10.0342,9.5202,21.4748,1930000000,N/A,48985045566.25,200000000,0,5076170525,41.7049,4.1011,8.5775,-37.2351,
603993.SH,¬е—фов“µ,2013-01-17,2.7781,3.0199,3.0574,2.8789,2.948,109728694,1143486760,0.1699,6.114,10.421,54.8643,2048000000,N/A,51979986176,200000000,0,5076170525,44.2547,4.3518,9.1019,-39.5117,
603993.SH,¬е—фов“µ,2013-01-18,2.948,2.9019,3.0171,2.827,2.9048,63019270,641442194,-0.0432,-1.4648,10.1785,31.5096,2018000000,N/A,51218560597.25,200000000,0,5076170525,43.6065,4.2881,8.9686,-38.9329,
603993.SH,¬е—фов“µ,2013-01-21,2.9048,2.8933,3.0257,2.8299,2.9537,47581174,481798814,0.0489,1.6848,10.1258,23.7906,2052000000,N/A,52081509586.5,200000000,0,5076170525,44.3412,4.3603,9.1197,-39.5888,
603993.SH,¬е—фов“µ,2013-01-22,2.9537,2.948,3.0372,2.8069,2.8731,48285508,493247645,-0.0806,-2.729,10.2152,24.1428,1996000000,N/A,50660181839.5,200000000,0,5076170525,43.1311,4.2413,8.8708,-38.5084,
603993.SH,¬е—фов“µ,2013-01-23,2.8731,2.7983,2.8414,2.7119,2.8155,34680462,334688080,-0.0576,-2.004,9.6506,17.3402,1956000000,N/A,49644947734.5,200000000,0,5076170525,42.2667,4.1563,8.693,-37.7367,
603993.SH,¬е—фов“µ,2013-01-24,2.8155,2.8155,2.8443,2.6198,2.6284,37998827,360197389,-0.1871,-6.6462,9.4792,18.9994,1826000000,N/A,46345436893.25,200000000,0,5076170525,39.4576,3.8801,8.1153,-35.2287,
603993.SH,¬е—фов“µ,2013-01-25,2.6284,2.6428,2.7464,2.6111,2.6716,29080281,271733433,0.0432,1.6429,9.3443,14.5401,1856000000,N/A,47106862472,200000000,0,5076170525,40.1059,3.9438,8.2486,-35.8075,
603993.SH,¬е—фов“µ,2013-01-28,2.6716,2.6486,2.7436,2.6428,2.7378,23513947,220840992,0.0662,2.4784,9.3919,11.757,1902000000,N/A,48274381692.75,200000000,0,5076170525,41.0999,4.0416,8.453,-36.6949,
603993.SH,¬е—фов“µ,2013-01-29,2.7378,2.7349,2.8213,2.6745,2.781,29818828,284529678,0.0432,1.5773,9.5419,14.9094,1932000000,N/A,49035807271.5,200000000,0,5076170525,41.7481,4.1053,8.5864,-37.2737,
603993.SH,¬е—фов“µ,2013-01-30,2.781,2.7378,2.7637,2.6802,2.7033,28015618,263595009,-0.0777,-2.795,9.4089,14.0078,1878000000,N/A,47665241229.75,200000000,0,5076170525,40.5813,3.9906,8.3464,-36.2319,
603993.SH,¬е—фов“µ,2013-01-31,2.7033,2.6946,2.9739,2.6917,2.971,63385510,630981222,0.2677,9.9042,9.9547,31.6928,2064000000,N/A,52386079818,200000000,0,5076170525,44.6005,4.3858,9.173,-39.8204,
603993.SH,¬е—фов“µ,2013-02-01,2.971,2.876,2.9652,2.8155,2.9105,42765249,430224445,-0.0605,-2.0349,10.0601,21.3826,2022000000,N/A,51320084007.75,200000000,0,5076170525,43.6929,4.2966,8.9863,-39.0101,
603993.SH,¬е—фов“µ,2013-02-04,2.9105,2.9624,2.9652,2.8098,2.8817,37798590,379915502,-0.0288,-0.9891,10.051,18.8993,2002000000,N/A,50812466955.25,200000000,0,5076170525,43.2607,4.2541,8.8975,-38.6242,
603993.SH,¬е—фов“µ,2013-02-05,2.8817,2.8357,2.8875,2.7983,2.8674,21078086,208556743,-0.0144,-0.4995,9.8945,10.539,1992000000,N/A,50558658429,200000000,0,5076170525,43.0447,4.2328,8.853,-38.4313,
603993.SH,¬е—фов“µ,2013-02-06,2.8674,2.8674,3.0257,2.8558,2.9105,24866662,254896280,0.0432,1.506,10.2505,12.4333,2022000000,N/A,51320084007.75,200000000,0,5076170525,43.6929,4.2966,8.9863,-39.0101,
603993.SH,¬е—фов“µ,2013-02-07,2.9105,2.9077,2.9221,2.853,2.876,13625330,136581941,-0.0345,-1.1869,10.0241,6.8127,1998000000,N/A,50710943544.75,200000000,0,5076170525,43.1743,4.2456,8.8797,-38.547,
603993.SH,¬е—фов“µ,2013-02-08,2.876,2.8645,2.9307,2.8645,2.8875,12569130,126211677,0.0115,0.4004,10.0414,6.2846,2006000000,N/A,50913990365.75,200000000,0,5076170525,43.3472,4.2626,8.9152,-38.7014,
603993.SH,¬е—фов“µ,2013-02-18,2.8875,2.8875,2.8904,2.804,2.8184,16865177,165700009,-0.0691,-2.3928,9.825,8.4326,1958000000,N/A,49695709439.75,200000000,0,5076170525,42.31,4.1606,8.7019,-37.7753,
603993.SH,¬е—фов“µ,2013-02-19,2.8184,2.804,2.8213,2.7033,2.7292,16381848,155979969,-0.0892,-3.1665,9.5215,8.1909,1896000000,N/A,48122096577,200000000,0,5076170525,40.9702,4.0288,8.4264,-36.5792,
603993.SH,¬е—фов“µ,2013-02-20,2.7292,2.7148,2.7724,2.7148,2.7666,10179663,97056290,0.0374,1.3713,9.5343,5.0898,1922000000,N/A,48781998745.25,200000000,0,5076170525,41.532,4.0841,8.5419,-37.0808,
603993.SH,¬е—фов“µ,2013-02-21,2.7666,2.732,2.732,2.5881,2.6111,20507082,187767625,-0.1555,-5.6191,9.1562,10.2535,1814000000,N/A,46040866661.75,200000000,0,5076170525,39.1983,3.8546,8.0619,-34.9972,
603993.SH,¬е—фов“µ,2013-02-22,2.6111,2.6198,2.6601,2.5507,2.6313,10290284,94034760,0.0202,0.7718,9.1382,5.1451,1828000000,N/A,46396198598.5,200000000,0,5076170525,39.5008,3.8843,8.1242,-35.2673,
603993.SH,¬е—фов“µ,2013-02-25,2.6313,2.6342,2.6514,2.6111,2.637,7716224,70500375,0.0058,0.2188,9.1366,3.8581,1832000000,N/A,46497722009,200000000,0,5076170525,39.5873,3.8928,8.1419,-35.3444,
603993.SH,¬е—фов“µ,2013-02-26,2.637,2.6226,2.6255,2.5248,2.5392,13557873,121610778,-0.0979,-3.7118,8.9698,6.7789,1764000000,N/A,44771824030.5,200000000,0,5076170525,38.1179,3.7483,7.8397,-34.0325,
603993.SH,¬е—фов“µ,2013-02-27,2.5392,2.5564,2.591,2.5363,2.568,8402050,74771262,0.0288,1.1338,8.8992,4.201,1784000000,N/A,45279441083,200000000,0,5076170525,38.55,3.7908,7.9286,-34.4184,
603993.SH,¬е—фов“µ,2013-02-28,2.568,2.5766,2.6802,2.5363,2.6745,18691545,171355012,0.1065,4.148,9.1675,9.3458,1858000000,N/A,47157624177.25,200000000,0,5076170525,40.1491,3.9481,8.2575,-35.846,
603993.SH,¬е—фов“µ,2013-03-01,2.6745,2.6572,2.6687,2.6083,2.6486,12868929,117859736,-0.0259,-0.9688,9.1585,6.4345,1840000000,N/A,46700768830,200000000,0,5076170525,39.7601,3.9098,8.1775,-35.4988,
603993.SH,¬е—фов“µ,2013-03-04,2.6486,2.5996,2.5996,2.4672,2.4989,16016586,140340548,-0.1497,-5.6522,8.7622,8.0083,1736000000,N/A,44061160157,200000000,0,5076170525,37.5128,3.6889,7.7153,-33.4923,
603993.SH,¬е—фов“µ,2013-03-05,2.4989,2.5017,2.5651,2.4816,2.5564,10632422,93585475,0.0576,2.3041,8.8019,5.3162,1776000000,N/A,45076394262,200000000,0,5076170525,38.3772,3.7738,7.8931,-34.264,
603993.SH,¬е—фов“µ,2013-03-06,2.5564,2.5737,2.6889,2.5334,2.6572,18440464,167932733,0.1008,3.9414,9.1068,9.2202,1846000000,N/A,46853053945.75,200000000,0,5076170525,39.8898,3.9226,8.2042,-35.6145,
603993.SH,¬е—фов“µ,2013-03-07,2.6572,2.637,2.6917,2.6025,2.6226,16466449,151184133,-0.0345,-1.3001,9.1813,8.2332,1822000000,N/A,46243913482.75,200000000,0,5076170525,39.3712,3.8716,8.0975,-35.1515,
603993.SH,¬е—фов“µ,2013-03-08,2.6226,2.6284,2.663,2.6111,2.6514,12965226,118895722,0.0288,1.0977,9.1704,6.4826,1842000000,N/A,46751530535.25,200000000,0,5076170525,39.8033,3.9141,8.1864,-35.5374,
603993.SH,¬е—фов“µ,2013-03-11,2.6514,2.7234,2.9163,2.6658,2.9163,57365600,566274890,0.2649,9.9891,9.8713,28.6828,2026000000,N/A,51421607418.25,200000000,0,5076170525,43.7794,4.3051,9.0041,-39.0872,
603993.SH,¬е—фов“µ,2013-03-12,2.9163,2.9364,3.1034,2.8674,2.9624,78307298,809666234,0.0461,1.5795,10.3396,39.1536,2058000000,N/A,52233794702.25,200000000,0,5076170525,44.4708,4.3731,9.1463,-39.7046,
603993.SH,¬е—фов“µ,2013-03-13,2.9624,2.8789,3.2071,2.853,3.0084,75072659,797927075,0.0461,1.5549,10.6287,37.5363,2090000000,N/A,53045981986.25,200000000,0,5076170525,45.1623,4.4411,9.2886,-40.322,
603993.SH,¬е—фов“µ,2013-03-14,3.0084,2.9249,2.9998,2.8674,2.9163,30664102,311327665,-0.0921,-3.0622,10.1528,15.3321,2026000000,N/A,51421607418.25,200000000,0,5076170525,43.7794,4.3051,9.0041,-39.0872,
603993.SH,¬е—фов“µ,2013-03-15,2.9163,2.876,2.9768,2.781,2.8357,33328970,332916036,-0.0806,-2.7641,9.9888,16.6645,1970000000,N/A,50000279671.25,200000000,0,5076170525,47.6055,4.3322,8.7552,-38.0068,
603993.SH,¬е—фов“µ,2013-03-18,2.8357,2.8155,2.8299,2.6773,2.6946,24461043,232586207,-0.1411,-4.9746,9.5084,12.2305,1872000000,N/A,47512956114,200000000,0,5076170525,45.2373,4.1167,8.3197,-36.1161,
603993.SH,¬е—фов“µ,2013-03-19,2.6946,2.6946,2.8645,2.6514,2.8328,28567591,272398556,0.1382,5.1282,9.5352,14.2838,1968000000,N/A,49949517966,200000000,0,5076170525,47.5572,4.3278,8.7464,-37.9683,
603993.SH,¬е—фов“µ,2013-03-20,2.8328,2.7925,2.9566,2.7608,2.8789,34658918,345256421,0.0461,1.626,9.9615,17.3295,2000000000,N/A,50761705250,200000000,0,5076170525,48.3305,4.3982,8.8886,-38.5856,
603993.SH,¬е—фов“µ,2013-03-21,2.8789,2.8645,2.9249,2.8501,2.8817,22320128,223387087,0.0029,0.1,10.0083,11.1601,2002000000,N/A,50812466955.25,200000000,0,5076170525,48.3788,4.4026,8.8975,-38.6242,
